erownames,Level1,Level2,vl,vu,spendShare,support,CVXOPT-svl-svu-betas,CVXOPT-svl-svu-decomp,CVXOPT-vl-vu-betas,CVXOPT-vl-vu-decomp,CVXOPT-with-old-betas-svl-svu-betas,CVXOPT-with-old-betas-svl-svu-decomp,CVXOPT-new-algo2-svl-svu-NO-RSSD-betas,CVXOPT-new-algo2-svl-svu-NO-RSSD-decomp,CVXOPT-new-algo2-svl-svu-WITH-RSSD-betas,CVXOPT-new-algo2-svl-svu-WITH-RSSD-decomp,orig-mbeta,orig-decomp
AppleSearch_Install,Media,Install,0,100000000,0.454314458,19.25691048,37.57412208,0.073216666,37.57412208,0.073216666,13.54680275,0.026397203,14.65426249,0.028555191,14.65235953,0.028551483,0,0
AppleSearch_Roas,Media,Roas,0,100000000,25.43467736,154.021975,422.2955061,6.581632719,422.2955061,6.581632719,142.5177872,2.221192786,147.9216398,2.30541384,27.80445444,0.433342776,0,0
Liftoff_Other,Media,Other,0,100000000,289.7414026,188.754849,0.005736611,0.000109569,0.005736611,0.000109569,505.1684091,9.648699847,540.5710611,10.32488933,312.8414216,5.97526077,0,0
Moloco_Roas,Media,Roas,0,100000000,114.302244,116.0022178,89.71093518,1.05304316,89.71093518,1.05304316,430.0234294,5.047692682,460.3016165,5.403103512,125.3360542,1.471217242,0,0
Appier_Install,Media,Install,0,100000000,9.010773622,52.74209561,641.4208938,3.423221331,641.4208938,3.423221331,124.5082702,0.664492489,218.5449184,1.166359926,34.61459177,0.184735811,0,0
Kyawake_Other,Media,Other,0,100000000,1.744452551,10.97929064,0.001370115,1.52E-06,0.001370115,1.52E-06,34.88440212,0.038756099,54.30703897,0.060334387,54.29842693,0.060324819,0,0
Mobupps_AEO,Media,AEO,0,100000000,1.306404168,25.28520892,0.000551969,1.41E-06,0.000551969,1.41E-06,18.29453924,0.046808262,20.22648646,0.051751327,20.22345935,0.051743582,0,0
Facebook_AEO,Media,AEO,0,100000000,160.0570277,217.2232866,537.8425121,11.8221374,537.8425121,11.8221374,325.5588447,7.156000699,340.4660847,7.483671785,80.3287167,1.765678808,0,0
Facebook_INSTALL,Media,INSTALL,0,100000000,12.28578179,209.3060261,264.8973386,5.610399956,264.8973386,5.610399956,82.09053582,1.738638603,65.07835285,1.378328638,10.30748201,0.218307579,0,0
Facebook_ROAS,Media,ROAS,0,100000000,380.7963388,209.438716,842.3360977,17.85158879,842.3360977,17.85158879,1651.378163,34.99757874,1000.36242,21.20063312,428.9157241,9.089990509,0,0
New_content,Non_Media,nan,0,100000000,0,96,0.005103938,4.96E-05,0.005103938,4.96E-05,0.000700384,6.80E-06,0.00057778,0.000006,14.32308007,0.139136844,0,0
Bug_fix,Non_Media,nan,0,100000000,0,8,0.097042886,7.86E-05,0.097042886,7.86E-05,0.001044864,8.46E-07,0.003449671,0.000003,0.001391709,1.13E-06,0,0
In_game_event,Non_Media,nan,0,100000000,0,86,126.0788967,1.097173593,126.0788967,1.097173593,0.000168692,1.47E-06,0.001346978,0.000012,2706.511311,23.55281349,0,0
