date,region,kpi_new_user,retention,active_revenue,impression_Appier_INSTALL,impression_AppleSearch_ROAS,impression_Applovin_AEO,impression_Applovin_ALL,impression_Applovin_INSTALL,impression_Applovin_ROAS,impression_Chartboost_ROAS,impression_Exmox_AEO,impression_Facebook_AEO,impression_Facebook_ALL,impression_Facebook_INSTALL,impression_Facebook_ROAS,impression_GoogleUAC_AEO,impression_GoogleUAC_ALL,impression_GoogleUAC_ROAS,impression_IronSource_INSTALL,impression_Jampp_ROAS,impression_Kaden_ROAS,impression_Kyawake_ALL,impression_Kyawake_OTHER,impression_Kyawake_ROAS,impression_Liftoff_OTHER,impression_Mobupps_AEO,impression_Moloco_ROAS,impression_Snapchat_AEO,impression_Snapchat_INSTALL,impression_TikTok_AEO,impression_TikTok_INSTALL,impression_Unity_INSTALL,impression_Unity_ROAS,impression_Vungle_OTHER,impression_Vungle_ROAS,spend_Appier_INSTALL,spend_AppleSearch_ROAS,spend_Applovin_AEO,spend_Applovin_ALL,spend_Applovin_INSTALL,spend_Applovin_ROAS,spend_Chartboost_ROAS,spend_Exmox_AEO,spend_Facebook_AEO,spend_Facebook_ALL,spend_Facebook_INSTALL,spend_Facebook_ROAS,spend_GoogleUAC_AEO,spend_GoogleUAC_ALL,spend_GoogleUAC_ROAS,spend_IronSource_INSTALL,spend_Jampp_ROAS,spend_Kaden_ROAS,spend_Kyawake_ALL,spend_Kyawake_OTHER,spend_Kyawake_ROAS,spend_Liftoff_OTHER,spend_Mobupps_AEO,spend_Moloco_ROAS,spend_Snapchat_AEO,spend_Snapchat_INSTALL,spend_TikTok_AEO,spend_TikTok_INSTALL,spend_Unity_INSTALL,spend_Unity_ROAS,spend_Vungle_OTHER,spend_Vungle_ROAS,advertising_new_user,day1_revenue,advertising_day7_revenue,day14_revenue,publish_force,publish_hot,publish_bug,publish_internal,publish_external,kpi_day7_revenue
2022-01-21,US,5347.0,45.629999999999995,41518.14,995.94,3.99,57.62,0.0,0.0,123.06,5.94,0.0,582.65,0.0,2.6,621.81,107.17,0.0,0.0,69.27000000000001,0.0,0.0,0.0,0.0,0.0,575.41,0.0,14199.2,0.0,0.0,363.88,0.0,84.3,73.05,0.0,142.77,30.0,2027.48,5391.46,0.0,30.0,23323.86,40.0,0.0,6821.29,0.0,36.7,15321.09,3683.57,0.0,0.0,2032.27,0.0,0.0,0.0,0.0,0.0,17204.84,0.0,9511.710000000001,0.0,0.0,1455.0,0.0,2047.6799999999998,4272.21,0.0,2786.0,3729,1217.72,7186.07,12645.02,0.0,0.0,0.0,0.0,0.0,10004.11
2022-01-22,US,5947.0,47.94,50214.08,1325.41,5.18,54.06,0.0,0.0,78.18,4.72,0.0,591.69,0.0,2.83,628.02,192.6,0.0,0.0,82.52,0.0,0.0,0.0,0.0,0.0,576.8,0.0,14145.82,0.0,0.0,296.04,0.0,80.44999999999999,79.5,0.0,159.34,85.0,1937.92,4371.37,0.0,18.0,17542.65,40.0,0.0,7334.21,0.0,36.12,16362.36,5628.7,0.0,0.0,2612.23,0.0,0.0,0.0,0.0,0.0,17762.78,0.0,9507.9,0.0,0.0,996.38,0.0,2135.74,4296.25,0.0,3794.0,4185,1740.19,8946.17,15656.07,0.0,0.0,0.0,0.0,0.0,12207.460000000001
2022-01-23,US,6363.0,44.76,46556.74,1452.24,6.430000000000001,43.11,0.0,0.0,73.0,9.05,0.0,592.51,0.0,2.86,643.61,243.5,0.0,0.0,117.65,0.0,0.0,0.0,0.0,0.0,591.42,0.0,13131.9,0.0,0.0,110.68,0.0,88.63,87.02,0.0,162.76,130.0,2047.5,4333.35,0.0,30.0,17574.8,30.0,0.0,7569.1,0.0,36.33,17676.84,5506.51,0.0,0.0,3270.6800000000003,0.0,0.0,0.0,0.0,0.0,17089.010000000002,0.0,9512.84,0.0,0.0,336.79,0.0,2320.57,4637.0,0.0,3692.0,4522,1821.03,8482.33,15136.34,0.0,0.0,0.0,0.0,0.0,12471.62
2022-01-24,US,5933.0,47.85,47235.83,2922.26,5.9,55.35,0.0,0.0,117.55,1.44,0.0,683.77,0.0,2.62,685.12,120.3,0.0,0.0,115.18,0.0,0.0,0.0,0.0,0.0,600.77,0.0,14737.13,0.0,0.0,395.92,0.0,106.15,85.2,0.0,121.97,225.0,1848.24,5525.32,0.0,36.0,17916.62,20.0,0.0,7674.27,0.0,37.06,18730.15,4339.9400000000005,0.0,0.0,3446.54,0.0,0.0,0.0,0.0,0.0,16775.31,0.0,9508.77,0.0,0.0,1454.99,0.0,2418.1400000000003,4783.15,0.0,2642.0,4342,1412.23,8925.08,16379.02,0.0,0.0,0.0,0.0,0.0,11554.94
2022-01-25,US,6238.0,46.39,41659.0,6502.57,8.690000000000001,86.9,0.0,0.0,133.78,13.07,0.0,734.89,0.0,2.59,682.79,127.21,0.0,0.0,128.44,0.0,0.0,0.0,0.0,0.0,470.04,0.0,15983.12,0.0,0.0,375.24,0.0,127.19,115.84,0.0,136.76,485.0,2015.61,7423.18,0.0,12.0,24695.71,20.0,0.0,9440.94,0.0,36.49,17844.489999999998,4647.56,0.0,0.0,3081.15,0.0,0.0,0.0,0.0,0.0,18180.65,0.0,9470.51,0.0,0.0,1455.0,0.0,2877.8500000000004,5751.5,0.0,2877.0,4749,1543.67,11187.97,17976.83,0.0,0.0,0.0,0.0,0.0,14682.16
2022-01-26,US,6559.0,45.94,50966.39,8195.98,9.82,85.56,0.0,0.0,141.04,61.89,0.0,802.37,0.0,2.45,833.3599999999999,72.15,0.0,0.0,117.64000000000001,0.0,0.0,0.0,0.0,0.0,449.77,0.0,14951.9,0.0,0.0,366.75,0.0,151.26,123.41,0.0,144.01,655.0,2000.88,9024.36,0.0,0.0,24743.16,110.0,0.0,8381.54,0.0,37.07,20616.670000000002,3031.27,0.0,0.0,2988.91,0.0,0.0,0.0,0.0,0.0,18186.96,0.0,9512.7,0.0,0.0,1455.0,0.0,3444.3,6688.16,0.0,3338.5,4915,1693.94,10337.94,18938.98,0.0,0.0,0.0,0.0,0.0,13391.300000000001
2022-01-27,US,6224.0,43.93,47672.1,9198.06,9.14,107.55,0.0,0.0,166.23,4.22,0.0,778.32,0.0,2.35,888.48,49.78,0.0,0.0,113.76,0.0,0.0,0.0,0.0,0.0,430.5,0.0,16681.63,0.0,0.0,302.94,0.0,152.33,144.7,0.0,194.38,495.0,2507.84,7957.75,0.0,12.0,25626.91,30.0,0.0,8071.42,0.0,35.93,22167.83,2258.83,0.0,0.0,2954.5200000000004,0.0,0.0,0.0,0.0,0.0,17997.86,0.0,11828.09,0.0,0.0,1455.0,0.0,3388.8100000000004,7794.100000000001,0.0,4070.5,4679,1462.1000000000001,7784.15,13879.19,0.0,0.0,0.0,0.0,0.0,11497.15
2022-01-28,US,6323.0,44.57,51051.91,4597.92,7.67,57.43,0.0,0.0,228.64,2.75,0.0,811.28,0.0,2.53,938.44,35.57,0.0,0.0,104.11999999999999,0.0,0.0,0.0,0.0,0.0,458.17,0.0,18170.43,0.0,0.0,323.23,0.0,142.22,120.32000000000001,0.0,199.81,405.0,2080.67,6897.27,0.0,6.0,22499.21,30.0,0.0,8349.14,0.0,35.88,22760.54,1833.19,0.0,0.0,2710.3599999999997,0.0,0.0,0.0,0.0,0.0,18488.75,0.0,12524.33,0.0,0.0,1442.13,0.0,3118.32,6797.59,0.0,4687.5,4778,1702.7900000000002,10429.36,19040.730000000003,0.0,0.0,0.0,0.0,0.0,14107.09
2022-01-29,US,7003.0,47.08,57345.72,6721.02,12.77,63.37,0.0,0.0,135.8,8.13,0.0,846.56,0.0,2.58,977.2,59.74,0.0,0.0,112.07999999999998,0.0,0.0,0.0,0.0,0.0,456.82,0.0,17586.7,0.0,0.0,363.48,0.0,157.01,162.48,0.0,173.93,465.0,2076.66,5148.4400000000005,0.0,36.0,24591.15,80.0,0.0,8453.15,0.0,35.85,22953.0,2867.04,0.0,0.0,3309.5600000000004,0.0,0.0,0.0,0.0,0.0,18533.49,0.0,12510.2,0.0,0.0,1455.0,0.0,3414.46,7590.72,0.0,3903.5,5208,1796.38,10974.94,18651.46,0.0,0.0,0.0,0.0,0.0,16444.09
2022-01-30,US,7466.0,43.54,56079.44,7117.4,10.87,69.1,0.0,0.0,149.99,11.9,0.0,894.13,0.0,2.71,990.49,133.52,0.0,0.0,117.01,0.0,0.0,0.0,0.0,0.0,427.21,0.0,15455.63,0.0,0.0,379.46,0.0,161.13,176.66,0.0,184.2,555.0,2178.66,5063.24,0.0,12.0,24318.29,50.0,0.0,8471.01,0.0,36.72,22371.73,4490.96,0.0,0.0,3196.96,0.0,0.0,0.0,0.0,0.0,18134.84,0.0,12592.29,0.0,0.0,1454.99,0.0,3426.4800000000005,7549.5,0.0,4123.5,5509,2569.7000000000003,12643.78,21834.02,0.0,0.0,0.0,0.0,0.0,16273.82
